English;Japanese;Number;Primary;Secondary;Evolves from;Evolves into;Notes
Bulbasaur;Fushigidane (フシギダネ);1;Grass;Poison;Beginning of evolution;Ivysaur (#002);It uses the nutrients that are stored in the seed on its back in order to grow. The reception of Bulbasaur has been largely positive and it often appears in "top Pokémon lists". Its English name is a portmanteau of "bulb" and "dinosaur".
Ivysaur;Fushigisō (フシギソウ);2;Grass;Poison;Bulbasaur (#001);Venusaur (#003);It is a playable character in Super Smash Bros. Brawl and Super Smash Bros. Ultimate as a part of the "Pokémon Trainer" fighter. Its English name is a portmanteau of "ivy" and "dinosaur". It was one of the earliest Pokémon, and the first member of its line.
Venusaur;Fushigibana (フシギバナ);3;Grass;Poison;Ivysaur (#002);Mega EvolutionGigantamax;Its English name is a portmanteau of "Venus" (relating to the Venus flytrap) and "dinosaur". It is based on the Pareiasaur. It is the mascot of Pokémon Green and LeafGreen. A bewitching aroma wafts from its flower. The fragrance becalms those engaged in a battle. Its plant blooms when it is absorbing solar energy.
Charmander;Hitokage (ヒトカゲ);4;Fire;None;Beginning of evolution;Charmeleon (#005);Charmander is a bipedal, salamander-like creature with a flame at the tip of its tail. Its English name is a portmanteau of "char" and "salamander". From the time it is born, a flame burns at the tip of its tail. Its life would end if the flame were to go out.
Charmeleon;Rizādo (リザード);5;Fire;None;Charmander (#004);Charizard (#006);Charmeleon is similar to Charmander yet larger. Its English name is a portmanteau of "char" and "chameleon". If it becomes agitated during battle, it spouts intense flames, incinerating its surroundings.
Charizard;Rizādon (リザードン);6;Fire;Flying;Charmeleon (#005);Two Mega EvolutionsGigantamax;It is a playable character as a part of the "Pokémon Trainer" fighter in Super Smash Bros. Brawl and Super Smash Bros. Ultimate, as well as a standalone fighter in Super Smash Bros. for Nintendo 3DS and Wii U. It is also the mascot of Pokémon Red and FireRed. In its Mega Charizard X form, it gains the dragon typing. Its English name is a portmanteau of "char" and "lizard".
Squirtle;Zenigame (ゼニガメ);7;Water;None;Beginning of evolution;Wartortle (#008);It is a playable character in Super Smash Bros. Brawl and Super Smash Bros. Ultimate as a part of the "Pokémon Trainer" fighter. Its English name is a portmanteau of "squirt" and "turtle". It is one of the Kanto starter Pokémon.
Wartortle;Kamēru (カメール);8;Water;None;Squirtle (#007);Blastoise (#009);Its English name is a portmanteau of "wart", "tortoise", and "turtle". Its tail is large and covered with a rich, thick fur. Its tail becomes increasingly deeper in color as Wartortle ages. Legends say it can live up to 1,000 years old. Wartortle was originally intended to have an entirely different final evolution that shared a closer design.
Blastoise;Kamekkusu (カメックス);9;Water;None;Wartortle (#008);Mega EvolutionGigantamax;Its English name is a portmanteau of "blast" and "tortoise". It is the mascot of Pokémon Blue. In early stages of Red and Green's development, Blastoise was originally separate from the Squirtle line and was called "Caravaggio". A Blastoise trading card, which was originally made as a test print before the commercial English cards, was sold for $360,000 in 2021. The rocket cannons on its shell fire jets of water capable of punching holes through thick steel.
Caterpie;Kyatapī (キャタピー);10;Bug;None;Beginning of evolution;Metapod (#011);To avoid predators, it releases an odor that makes bird-type Pokémon hesitant to hunt it. Its appearance is based on the Eastern Tiger Swallowtail.
Metapod;Toranseru (トランセル);11;Bug;None;Caterpie (#010);Butterfree (#012);The outer shell of Metapod is extremely hard, but the insides are soft due to the changes that it is undergoing. It may not move for more than two weeks. Ume Aoki, a Japanese cartoonist who is famous for her work on the manga Hidamari Sketch and the anime Puella Magi Madoka Magica, utilizes a likeness of herself cosplaying as a Metapod in her drawn works.
Butterfree;Batafurī (バタフリー);12;Bug;Flying;Metapod (#011);Gigantamax;It rubs honey onto the hairs on its legs to carry it back to its nest. In battle, it flaps its wings at great speed to release spores and powders onto opponents. Its Gigantamax form is a tremendous size with huge, turquoise wings and resembles Mothra of the Godzilla franchise. It sheds toxic flakes of crystallized Gigantamax energy.
Weedle;Bīdoru (ビードル);13;Bug;Poison;Beginning of evolution;Kakuna (#014);Its stinger is poisonous. While it does not like to fight, Weedle can protect itself, if only for a short while.
Kakuna;Kokūn (コクーン);14;Bug;Poison;Weedle (#013);Beedrill (#015);Similar to Metapod, its shell is extremely hard, but the insides are soft due to its metamorphosis. Kakuna also doesn't move as much. Kakuna typically attach to trees in clusters and feel hot to the touch.
Beedrill;Supiā (スピアー);15;Bug;Poison;Kakuna (#014);Mega Evolution;Beedrill are highly aggressive and will violently swarm and sting anyone who approaches their hive. Beedrill appear as large hornets with spikes on their forearms.
Pidgey;Poppo (ポッポ);16;Normal;Flying;Beginning of evolution;Pidgeotto (#017);Pidgey is the common bird of Kanto. It hunts bug Pokémon until they scurry away. It is considered as an alternative version of Spearow and a rival to it.
Pidgeotto;Pijon (ピジョン);17;Normal;Flying;Pidgey (#016);Pidgeot (#018);Pidgeotto was the second Pokémon that Ash Ketchum caught on his journey in the anime. It constantly flies around its large territory in search of prey and often squabbles with other Pidgeotto over territory.
Pidgeot;Pijotto (ピジョット);18;Normal;Flying;Pidgeotto (#017);Mega Evolution;Most trainers choose Pidgeot as their Pokémon due to their striking, beautiful feathers. Pidgeots tend to be very large in size. Its highly decorated plumage is used to intimidate enemies. It races through the skies at Mach-2 speed.
Rattata;Koratta (コラッタ);19;Normal;None;Beginning of evolution;Raticate (#020);Its teeth grow long overtime, so it has to gnaw on logs, houses, telephone poles, and more, so it is often seen as a pest. Rattata has an Alolan form that is a Dark/Normal type.
